Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1991Q2,0.0191491,350.173
Industry groups,Printing,SG01RSC04B01CC4,1991Q2,0.0069472,185.527
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1991Q2,0.0335928,724.698
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1991Q2,0.0049593,134.128
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1991Q2,0.0171835,447.57
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1991Q2,0.021442,679.485
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1991Q2,0.0042566,151.685
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1991Q2,0.0307215,1176.866
Industry groups,Construction,SG01RSC04B01EE1,1991Q2,0.0356918,1176.492
Industry groups,Wholesale trade,SG01RSC04B01FF1,1991Q2,0.0481044,1488.632
Industry groups,Retail trade,SG01RSC04B01GH1,1991Q2,0.0455394,1115.159
Industry groups,Accommodation services,SG01RSC04B01GH2,1991Q2,0.0144182,595.165
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1991Q2,0.0518027,1029.696
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1991Q2,0.0424866,484.307
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1991Q2,0.0497001,1386.307
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1991Q2,0.048204,1774.213
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1991Q2,0.0838936,1979.258
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1991Q2,0.0448212,1875.109
Industry groups,Administrative and support services,SG01RSC04B01MN2,1991Q2,0.0125924,507.472
Industry groups,Local Government administration,SG01RSC04B01OO1,1991Q2,0.006799,206.967
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1991Q2,0.0401708,1170.175
Industry groups,Education and training,SG01RSC04B01PP1,1991Q2,0.0410382,1617.677
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1991Q2,0.0444184,1395.978
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1991Q2,0.0098109,319.967
Industry groups,Other services,SG01RSC04B01RS2,1991Q2,0.0168451,448.02
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1991Q2,0.0705969,1783.273
Industry groups,Agriculture,SG01RSC04B01AA1,1991Q3,0.0525629,1790.91
Industry groups,Forestry and logging,SG01RSC04B01AA2,1991Q3,0.0092103,199.412
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1991Q3,0.007113,238.053
Industry groups,Mining,SG01RSC04B01BB1,1991Q3,0.0148126,617.005
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1991Q3,0.0599548,1089.354
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1991Q3,0.0111605,268.921
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1991Q3,0.0191491,359.944
Industry groups,Printing,SG01RSC04B01CC4,1991Q3,0.0069472,188.819
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1991Q3,0.0335928,745.294
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1991Q3,0.0049593,130.858
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1991Q3,0.0171835,462.712
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1991Q3,0.021442,685.688
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1991Q3,0.0042566,154.87
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1991Q3,0.0307215,1149.38
Industry groups,Construction,SG01RSC04B01EE1,1991Q3,0.0356918,1116.982
Industry groups,Wholesale trade,SG01RSC04B01FF1,1991Q3,0.0481044,1493.358
Industry groups,Retail trade,SG01RSC04B01GH1,1991Q3,0.0455394,1118.77
Industry groups,Accommodation services,SG01RSC04B01GH2,1991Q3,0.0144182,585.093
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1991Q3,0.0518027,1019.067
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1991Q3,0.0424866,491.679
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1991Q3,0.0497001,1407.472
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1991Q3,0.048204,1768.888
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1991Q3,0.0838936,1984.001
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1991Q3,0.0448212,1811.097
Industry groups,Administrative and support services,SG01RSC04B01MN2,1991Q3,0.0125924,498.433
Industry groups,Local Government administration,SG01RSC04B01OO1,1991Q3,0.006799,199.667
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1991Q3,0.0401708,1160.8
Industry groups,Education and training,SG01RSC04B01PP1,1991Q3,0.0410382,1636.461
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1991Q3,0.0444184,1386.132
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1991Q3,0.0098109,321.827
Industry groups,Other services,SG01RSC04B01RS2,1991Q3,0.0168451,445.52
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1991Q3,0.0705969,1790.218
Industry groups,Agriculture,SG01RSC04B01AA1,1991Q4,0.0525629,1698.067
Industry groups,Forestry and logging,SG01RSC04B01AA2,1991Q4,0.0092103,198.933
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1991Q4,0.007113,256.074
Industry groups,Mining,SG01RSC04B01BB1,1991Q4,0.0148126,562.612
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1991Q4,0.0599548,1116.888
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1991Q4,0.0111605,281.897
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1991Q4,0.0191491,369.871
Industry groups,Printing,SG01RSC04B01CC4,1991Q4,0.0069472,188.332
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1991Q4,0.0335928,756.027
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1991Q4,0.0049593,140.617
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1991Q4,0.0171835,471.381
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1991Q4,0.021442,684.028
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1991Q4,0.0042566,153.711
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1991Q4,0.0307215,1178.429
Industry groups,Construction,SG01RSC04B01EE1,1991Q4,0.0356918,1113.447
Industry groups,Wholesale trade,SG01RSC04B01FF1,1991Q4,0.0481044,1496.574
Industry groups,Retail trade,SG01RSC04B01GH1,1991Q4,0.0455394,1108.278
Industry groups,Accommodation services,SG01RSC04B01GH2,1991Q4,0.0144182,591.436
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1991Q4,0.0518027,1101.189
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1991Q4,0.0424866,501.47
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1991Q4,0.0497001,1424.997
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1991Q4,0.048204,1770.145
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1991Q4,0.0838936,1978.672
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1991Q4,0.0448212,1800.178
Industry groups,Administrative and support services,SG01RSC04B01MN2,1991Q4,0.0125924,506.102
Industry groups,Local Government administration,SG01RSC04B01OO1,1991Q4,0.006799,191.946
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1991Q4,0.0401708,1179.036
Industry groups,Education and training,SG01RSC04B01PP1,1991Q4,0.0410382,1652.41
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1991Q4,0.0444184,1401.689
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1991Q4,0.0098109,318.302
Industry groups,Other services,SG01RSC04B01RS2,1991Q4,0.0168451,439.782
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1991Q4,0.0705969,1805.859
Industry groups,Agriculture,SG01RSC04B01AA1,1992Q1,0.0525629,1647.142
Industry groups,Forestry and logging,SG01RSC04B01AA2,1992Q1,0.0092103,198.98
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1992Q1,0.007113,267.221
Industry groups,Mining,SG01RSC04B01BB1,1992Q1,0.0148126,595.613
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1992Q1,0.0599548,1117.203
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1992Q1,0.0111605,262.911
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1992Q1,0.0191491,373.89
Industry groups,Printing,SG01RSC04B01CC4,1992Q1,0.0069472,199.77
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1992Q1,0.0335928,756.175
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1992Q1,0.0049593,141.214
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1992Q1,0.0171835,481.276
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1992Q1,0.021442,705.616
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1992Q1,0.0042566,156.115
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1992Q1,0.0307215,1167.738
Industry groups,Construction,SG01RSC04B01EE1,1992Q1,0.0356918,1204.558
Industry groups,Wholesale trade,SG01RSC04B01FF1,1992Q1,0.0481044,1474.254
Industry groups,Retail trade,SG01RSC04B01GH1,1992Q1,0.0455394,1130.704
Industry groups,Accommodation services,SG01RSC04B01GH2,1992Q1,0.0144182,611.431
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1992Q1,0.0518027,1043.812
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1992Q1,0.0424866,511.133
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1992Q1,0.0497001,1428.894
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1992Q1,0.048204,1776.275
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1992Q1,0.0838936,1971.087
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1992Q1,0.0448212,1847.436
Industry groups,Administrative and support services,SG01RSC04B01MN2,1992Q1,0.0125924,512.742
Industry groups,Local Government administration,SG01RSC04B01OO1,1992Q1,0.006799,184.082
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q1,0.0401708,1169.508
Industry groups,Education and training,SG01RSC04B01PP1,1992Q1,0.0410382,1663.245
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q1,0.0444184,1419.553
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q1,0.0098109,329.753
Industry groups,Other services,SG01RSC04B01RS2,1992Q1,0.0168451,455.629
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q1,0.0705969,1857.883
Industry groups,Agriculture,SG01RSC04B01AA1,1992Q2,0.0477843,1484.57
Industry groups,Forestry and logging,SG01RSC04B01AA2,1992Q2,0.0107649,195.929
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1992Q2,0.0086178,266.513
Industry groups,Mining,SG01RSC04B01BB1,1992Q2,0.015217,674.501
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1992Q2,0.057335,1123.442
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1992Q2,0.0108445,261.948
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1992Q2,0.0186234,373.375
Industry groups,Printing,SG01RSC04B01CC4,1992Q2,0.0067534,198.973
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1992Q2,0.0347514,807.048
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1992Q2,0.0053183,143.621
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1992Q2,0.0197623,494.229
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1992Q2,0.0210493,700.668
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1992Q2,0.0046881,155.795
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1992Q2,0.0304391,1139.495
Industry groups,Construction,SG01RSC04B01EE1,1992Q2,0.0348169,1127.648
Industry groups,Wholesale trade,SG01RSC04B01FF1,1992Q2,0.0498079,1559.451
Industry groups,Retail trade,SG01RSC04B01GH1,1992Q2,0.0472567,1126.204
Industry groups,Accommodation services,SG01RSC04B01GH2,1992Q2,0.0155128,600.989
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1992Q2,0.0521696,1040.022
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1992Q2,0.0417875,513.145
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1992Q2,0.0489984,1438.233
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1992Q2,0.0500051,1782.433
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1992Q2,0.0787302,1953.906
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1992Q2,0.0459613,1845.246
Industry groups,Administrative and support services,SG01RSC04B01MN2,1992Q2,0.0129777,510.05
Industry groups,Local Government administration,SG01RSC04B01OO1,1992Q2,0.0055929,172.281
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q2,0.0398764,1184.878
Industry groups,Education and training,SG01RSC04B01PP1,1992Q2,0.0412847,1672.639
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q2,0.0444452,1410.141
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q2,0.010889,330.665
Industry groups,Other services,SG01RSC04B01RS2,1992Q2,0.0172186,436.873
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q2,0.0707207,1810.381
Industry groups,Agriculture,SG01RSC04B01AA1,1992Q3,0.0477843,1400.956
Industry groups,Forestry and logging,SG01RSC04B01AA2,1992Q3,0.0107649,187.233
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1992Q3,0.0086178,265.801
Industry groups,Mining,SG01RSC04B01BB1,1992Q3,0.015217,602.681
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1992Q3,0.057335,1114.647
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1992Q3,0.0108445,268.98
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1992Q3,0.0186234,350.601
Industry groups,Printing,SG01RSC04B01CC4,1992Q3,0.0067534,174.034
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1992Q3,0.0347514,800.1
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1992Q3,0.0053183,142.023
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1992Q3,0.0197623,491.051
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1992Q3,0.0210493,701.799
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1992Q3,0.0046881,160.614
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1992Q3,0.0304391,1038.799
Industry groups,Construction,SG01RSC04B01EE1,1992Q3,0.0348169,1107.996
Industry groups,Wholesale trade,SG01RSC04B01FF1,1992Q3,0.0498079,1529.017
Industry groups,Retail trade,SG01RSC04B01GH1,1992Q3,0.0472567,1132.319
Industry groups,Accommodation services,SG01RSC04B01GH2,1992Q3,0.0155128,620.466
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1992Q3,0.0521696,1076.678
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1992Q3,0.0417875,507.909
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1992Q3,0.0489984,1446.626
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1992Q3,0.0500051,1774.909
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1992Q3,0.0787302,1932.475
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1992Q3,0.0459613,1833.55
Industry groups,Administrative and support services,SG01RSC04B01MN2,1992Q3,0.0129777,508.073
Industry groups,Local Government administration,SG01RSC04B01OO1,1992Q3,0.0055929,163.216
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q3,0.0398764,1201.945
Industry groups,Education and training,SG01RSC04B01PP1,1992Q3,0.0412847,1683.728
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q3,0.0444452,1433.484
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q3,0.010889,332.533
Industry groups,Other services,SG01RSC04B01RS2,1992Q3,0.0172186,440.48
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q3,0.0707207,1826.44
Industry groups,Agriculture,SG01RSC04B01AA1,1992Q4,0.0477843,1378.732
Industry groups,Forestry and logging,SG01RSC04B01AA2,1992Q4,0.0107649,201.798
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1992Q4,0.0086178,286.252
Industry groups,Mining,SG01RSC04B01BB1,1992Q4,0.015217,540.214
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1992Q4,0.057335,1089.832
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1992Q4,0.0108445,255.468
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1992Q4,0.0186234,393.067
Industry groups,Printing,SG01RSC04B01CC4,1992Q4,0.0067534,195.579
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1992Q4,0.0347514,812.697
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1992Q4,0.0053183,156.702
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1992Q4,0.0197623,505.098
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1992Q4,0.0210493,714.893
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1992Q4,0.0046881,166.638
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1992Q4,0.0304391,1180.245
Industry groups,Construction,SG01RSC04B01EE1,1992Q4,0.0348169,1134.922
Industry groups,Wholesale trade,SG01RSC04B01FF1,1992Q4,0.0498079,1516.882
Industry groups,Retail trade,SG01RSC04B01GH1,1992Q4,0.0472567,1147.209
Industry groups,Accommodation services,SG01RSC04B01GH2,1992Q4,0.0155128,636.986
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1992Q4,0.0521696,1130.139
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1992Q4,0.0417875,523.05
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1992Q4,0.0489984,1436.139
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1992Q4,0.0500051,1789.282
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1992Q4,0.0787302,1936.308
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1992Q4,0.0459613,1856.335
Industry groups,Administrative and support services,SG01RSC04B01MN2,1992Q4,0.0129777,522.845
Industry groups,Local Government administration,SG01RSC04B01OO1,1992Q4,0.0055929,162.162
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q4,0.0398764,1203.936
Industry groups,Education and training,SG01RSC04B01PP1,1992Q4,0.0412847,1698.511
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q4,0.0444452,1445.139
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q4,0.010889,336.587
Industry groups,Other services,SG01RSC04B01RS2,1992Q4,0.0172186,455.371
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q4,0.0707207,1849.715
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q1,0.0477843,1440.857
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q1,0.0107649,205.25
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q1,0.0086178,289.896
Industry groups,Mining,SG01RSC04B01BB1,1993Q1,0.015217,604.116
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q1,0.057335,1154.195
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q1,0.0108445,270.096
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q1,0.0186234,379.814
Industry groups,Printing,SG01RSC04B01CC4,1993Q1,0.0067534,187.11
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q1,0.0347514,833.962
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q1,0.0053183,159.253
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q1,0.0197623,519.493
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q1,0.0210493,715.264
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q1,0.0046881,175.105
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q1,0.0304391,1197.9
Industry groups,Construction,SG01RSC04B01EE1,1993Q1,0.0348169,1154.194
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q1,0.0498079,1518.302
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q1,0.0472567,1158.073
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q1,0.0155128,629.068
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q1,0.0521696,1159.796
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q1,0.0417875,529.418
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q1,0.0489984,1447.117
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q1,0.0500051,1812.558
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q1,0.0787302,1952.543
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q1,0.0459613,1890.191
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q1,0.0129777,537.792
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q1,0.0055929,161.172
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q1,0.0398764,1198.325
Industry groups,Education and training,SG01RSC04B01PP1,1993Q1,0.0412847,1715.146
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q1,0.0444452,1468.101
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q1,0.010889,363.477
Industry groups,Other services,SG01RSC04B01RS2,1993Q1,0.0172186,486.995
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q1,0.0707207,1857.788
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q2,0.0507368,1593.05
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q2,0.0134082,209.934
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q2,0.0091133,290.162
Industry groups,Mining,SG01RSC04B01BB1,1993Q2,0.0137555,623.408
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q2,0.0553027,1144.728
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q2,0.0107858,276.824
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q2,0.0180469,395.717
Industry groups,Printing,SG01RSC04B01CC4,1993Q2,0.0068038,193.777
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q2,0.0364135,847.471
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q2,0.0058345,155.702
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q2,0.0200692,553.07
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q2,0.0214171,751.21
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q2,0.0047012,172.267
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q2,0.0305941,1183.93
Industry groups,Construction,SG01RSC04B01EE1,1993Q2,0.035927,1201.574
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q2,0.0550565,1578.559
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q2,0.0467911,1178.713
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q2,0.0164506,631.53
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q2,0.0518636,1186.421
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q2,0.0397334,533.609
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q2,0.0450688,1477.453
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q2,0.0493695,1830.891
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q2,0.0740884,1973.274
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q2,0.0494887,1908.325
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q2,0.0139094,537.732
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q2,0.0052641,166.364
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q2,0.0384731,1216.728
Industry groups,Education and training,SG01RSC04B01PP1,1993Q2,0.039974,1735.762
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q2,0.0434436,1464.112
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q2,0.0106225,352.447
Industry groups,Other services,SG01RSC04B01RS2,1993Q2,0.0169469,489.446
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q2,0.070546,1896.735
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q3,0.0507368,1745.931
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q3,0.0134082,195.236
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q3,0.0091133,283.692
Industry groups,Mining,SG01RSC04B01BB1,1993Q3,0.0137555,614.606
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q3,0.0553027,1179.852
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q3,0.0107858,282.191
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q3,0.0180469,411.419
Industry groups,Printing,SG01RSC04B01CC4,1993Q3,0.0068038,193.185
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q3,0.0364135,870.558
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q3,0.0058345,164.386
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q3,0.0200692,557.914
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q3,0.0214171,751.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q3,0.0047012,174.33
